# Command used - mpirun -np 2 --report-bindings --map-by node --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.36,0.00
1,1000,1.35,0.74
2,1000,1.35,1.48
4,1000,1.35,2.96
8,1000,1.36,5.90
16,1000,1.36,11.80
32,1000,1.38,23.15
64,1000,1.68,38.12
128,1000,1.72,74.60
256,1000,1.99,128.56
512,1000,2.07,247.78
1024,1000,2.28,448.48
2048,1000,2.99,685.12
4096,1000,3.91,1047.15
8192,1000,5.49,1492.45
16384,1000,7.26,2257.55
32768,1000,10.09,3247.51
65536,640,14.42,4543.48
131072,320,23.57,5560.95
262144,160,33.19,7898.33
524288,80,55.82,9393.30
1048576,40,98.92,10599.95
2097152,20,185.71,11292.67
4194304,10,354.66,11826.26
