# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ucx --mca btl self,vader --mca btl_vader_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.23,4.35
2,1000,0.21,9.64
4,1000,0.21,19.20
8,1000,0.21,38.37
16,1000,0.21,76.63
32,1000,0.25,126.71
64,1000,0.25,260.99
128,1000,0.35,369.02
256,1000,0.37,692.52
512,1000,0.45,1130.61
1024,1000,0.56,1822.67
2048,1000,0.77,2649.77
4096,1000,1.15,3572.73
8192,1000,1.90,4312.75
16384,1000,2.97,5510.85
32768,1000,4.77,6871.27
65536,640,8.10,8090.84
131072,320,14.67,8937.49
262144,160,14.01,18713.14
524288,80,25.06,20918.79
1048576,40,60.37,17369.93
2097152,20,157.79,13290.77
4194304,10,336.38,12468.80
