# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=mlx ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47}
30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47}
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.34,0.00
1,1000,1.34,0.75
2,1000,1.35,1.48
4,1000,1.34,2.98
8,1000,1.34,5.97
16,1000,1.34,11.94
32,1000,1.36,23.53
64,1000,1.55,41.39
128,1000,1.61,79.28
256,1000,1.86,137.57
512,1000,1.94,263.25
1024,1000,2.10,486.61
2048,1000,2.78,737.61
4096,1000,3.59,1141.25
8192,1000,4.62,1773.96
16384,1000,6.31,2597.31
32768,1000,10.43,3141.54
65536,640,13.47,4865.24
131072,320,22.63,5793.22
262144,160,33.20,7895.99
524288,80,56.05,9354.17
1048576,40,98.45,10650.83
2097152,20,183.73,11414.50
4194304,10,353.65,11860.05
