# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.30
2,1000,0.43,4.69
4,1000,0.43,9.27
8,1000,0.43,18.48
16,1000,0.43,36.98
32,1000,0.46,69.01
64,1000,0.47,136.96
128,1000,0.58,221.42
256,1000,0.60,426.08
512,1000,0.80,636.97
1024,1000,0.87,1172.31
2048,1000,1.01,2021.44
4096,1000,1.46,2804.81
8192,1000,1.98,4147.15
16384,1000,3.32,4935.74
32768,1000,5.00,6555.92
65536,640,9.27,7070.05
131072,320,17.76,7382.25
262144,160,35.11,7465.94
524288,80,83.01,6316.27
1048576,40,168.19,6234.35
2097152,20,334.54,6268.76
4194304,10,667.96,6279.26
8388608,5,1428.68,5871.59
16777216,2,3931.97,4266.88
33554432,1,8136.00,4124.19
67108864,1,16206.77,4140.79
134217728,1,32246.28,4162.27
268435456,1,64724.17,4147.38
