# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ob1 --mca btl self,vader --mca btl_vader_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.55,0.00
1,1000,0.58,1.71
2,1000,0.57,3.48
4,1000,0.57,7.04
8,1000,0.57,13.99
16,1000,0.60,26.74
32,1000,0.65,49.09
64,1000,0.83,77.08
128,1000,0.90,141.85
256,1000,0.98,260.98
512,1000,1.24,413.07
1024,1000,1.43,716.19
2048,1000,1.78,1150.48
4096,1000,2.66,1537.17
8192,1000,3.04,2697.57
16384,1000,3.66,4480.71
32768,1000,4.49,7301.78
65536,640,6.51,10072.38
131072,320,9.93,13202.07
262144,160,17.93,14618.82
524288,80,38.14,13746.68
1048576,40,99.85,10501.00
2097152,20,244.05,8593.19
4194304,10,497.95,8423.15
