# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.26,3.91
2,1000,0.26,7.65
4,1000,0.26,15.65
8,1000,0.25,31.70
16,1000,0.25,63.36
32,1000,0.26,121.95
64,1000,0.26,242.87
128,1000,0.27,465.77
256,1000,0.30,866.94
512,1000,0.53,971.22
1024,1000,0.58,1773.90
2048,1000,0.72,2831.94
4096,1000,0.92,4447.75
8192,1000,1.52,5397.70
16384,1000,2.40,6830.57
32768,1000,3.64,9007.41
65536,640,5.92,11074.12
131072,320,8.83,14841.21
262144,160,15.72,16673.30
524288,80,40.76,12862.80
1048576,40,83.97,12487.37
2097152,20,163.11,12857.58
4194304,10,393.83,10650.03
