# Command used - mpirun -np 2 --report-bindings --map-by node --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.36,0.00
1,1000,1.36,0.74
2,1000,1.35,1.48
4,1000,1.36,2.95
8,1000,1.36,5.89
16,1000,1.36,11.78
32,1000,1.39,23.10
64,1000,1.66,38.57
128,1000,1.71,74.67
256,1000,3.51,73.00
512,1000,2.07,247.72
1024,1000,2.31,443.31
2048,1000,2.97,689.47
4096,1000,3.92,1046.02
8192,1000,5.49,1493.12
16384,1000,7.28,2249.47
32768,1000,10.11,3241.49
65536,640,14.46,4531.21
131072,320,23.52,5571.80
262144,160,33.23,7889.02
524288,80,58.14,9018.31
1048576,40,98.92,10600.06
2097152,20,184.62,11359.20
4194304,10,355.72,11791.07
