# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=sockets ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,11.71,0.00
1,1000,11.72,0.09
2,1000,11.74,0.17
4,1000,11.71,0.34
8,1000,11.73,0.68
16,1000,11.75,1.36
32,1000,11.82,2.71
64,1000,11.77,5.44
128,1000,11.94,10.72
256,1000,26.77,9.56
512,1000,37.16,13.78
1024,1000,43.92,23.32
2048,1000,37.00,55.35
4096,1000,47.61,86.04
8192,1000,37.70,217.31
16384,1000,62.53,262.03
32768,1000,65.04,503.83
65536,640,59.21,1106.88
131072,320,101.59,1290.27
262144,160,161.24,1625.80
524288,80,261.13,2007.80
1048576,40,514.25,2039.05
2097152,20,1011.26,2073.79
4194304,10,1586.01,2644.57
