# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,vader --mca btl_vader_if_include br0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.28,0.00
1,1000,0.28,3.51
2,1000,0.28,7.12
4,1000,0.28,14.25
8,1000,0.30,27.04
16,1000,0.29,54.32
32,1000,0.30,108.36
64,1000,0.32,198.63
128,1000,0.37,345.72
256,1000,0.43,596.90
512,1000,0.60,856.55
1024,1000,0.66,1539.86
2048,1000,0.81,2514.42
4096,1000,1.65,2485.24
8192,1000,2.07,3964.58
16384,1000,2.54,6438.50
32768,1000,3.64,9003.80
65536,640,5.35,12256.69
131072,320,9.53,13747.14
262144,160,17.05,15376.49
524288,80,37.35,14037.60
1048576,40,98.60,10634.14
2097152,20,244.18,8588.62
4194304,10,563.54,7442.74
8388608,5,1726.79,4857.91
16777216,2,4238.03,3958.73
33554432,1,8864.88,3785.10
67108864,1,17804.74,3769.16
134217728,1,34294.80,3913.65
268435456,1,66669.02,4026.39
