# Command used - mpirun -np 2 --report-bindings --map-by node --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,13.45,0.00
1,1000,13.61,0.07
2,1000,13.53,0.15
4,1000,13.51,0.30
8,1000,13.42,0.60
16,1000,13.60,1.18
32,1000,13.74,2.33
64,1000,13.81,4.63
128,1000,13.82,9.26
256,1000,14.21,18.02
512,1000,13.83,37.02
1024,1000,14.67,69.80
2048,1000,15.79,129.66
4096,1000,15.49,264.44
8192,1000,17.91,457.34
16384,1000,22.99,712.67
32768,1000,37.33,877.76
65536,640,79.86,820.68
131072,320,118.60,1105.12
262144,160,209.91,1248.82
524288,80,311.76,1681.68
1048576,40,510.69,2053.26
2097152,20,921.34,2276.21
4194304,10,1754.47,2390.63
