# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.02,0.00
1,1000,5.08,0.20
2,1000,5.09,0.39
4,1000,5.10,0.78
8,1000,5.09,1.57
16,1000,5.09,3.14
32,1000,5.10,6.27
64,1000,5.12,12.50
128,1000,5.17,24.76
256,1000,5.20,49.19
512,1000,5.24,97.71
1024,1000,5.81,176.13
2048,1000,5.62,364.32
4096,1000,6.50,630.00
8192,1000,6.98,1174.32
16384,1000,9.04,1812.07
32768,1000,14.42,2272.93
65536,640,29.46,2224.62
131072,320,36.83,3559.00
262144,160,51.56,5084.22
524288,80,86.00,6096.03
1048576,40,147.72,7098.58
2097152,20,306.93,6832.76
4194304,10,654.18,6411.54
