# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=mlx ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47}
30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47}
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.28,0.00
1,1000,1.27,0.79
2,1000,1.29,1.55
4,1000,1.28,3.11
8,1000,1.27,6.28
16,1000,1.28,12.50
32,1000,1.30,24.70
64,1000,1.43,44.89
128,1000,1.47,86.96
256,1000,1.72,148.69
512,1000,1.78,287.82
1024,1000,1.94,527.36
2048,1000,2.58,794.70
4096,1000,3.27,1251.83
8192,1000,4.11,1993.77
16384,1000,5.79,2827.60
32768,1000,10.12,3237.76
65536,640,13.34,4913.32
131072,320,21.78,6018.95
262144,160,33.49,7828.37
524288,80,57.98,9042.85
1048576,40,98.58,10637.22
2097152,20,184.74,11352.07
4194304,10,355.13,11810.69
