# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,vader --mca btl_vader_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.27,0.00
1,1000,0.29,3.44
2,1000,0.29,6.97
4,1000,0.29,13.93
8,1000,0.29,27.61
16,1000,0.30,52.86
32,1000,0.30,106.47
64,1000,0.33,191.75
128,1000,0.39,330.82
256,1000,0.45,564.55
512,1000,0.58,881.74
1024,1000,0.67,1521.83
2048,1000,0.81,2524.24
4096,1000,1.70,2406.05
8192,1000,2.04,4022.20
16384,1000,2.47,6623.63
32768,1000,3.61,9085.09
65536,640,5.56,11793.92
131072,320,9.54,13741.90
262144,160,16.88,15533.46
524288,80,37.10,14132.36
1048576,40,97.27,10780.15
2097152,20,230.65,9092.23
4194304,10,518.16,8094.55
