# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ucx --mca btl self,vader --mca btl_vader_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.21,4.67
2,1000,0.23,8.62
4,1000,0.21,18.76
8,1000,0.21,37.56
16,1000,0.21,74.43
32,1000,0.25,127.83
64,1000,0.25,256.97
128,1000,0.36,360.54
256,1000,0.38,671.80
512,1000,0.46,1118.55
1024,1000,0.56,1824.49
2048,1000,0.78,2641.58
4096,1000,1.15,3573.15
8192,1000,1.89,4324.07
16384,1000,2.96,5537.62
32768,1000,4.73,6923.28
65536,640,8.07,8121.13
131072,320,14.60,8976.23
262144,160,14.04,18667.81
524288,80,24.79,21148.29
1048576,40,58.41,17953.00
2097152,20,158.70,13214.84
4194304,10,326.34,12852.49
