# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.25,3.96
2,1000,0.25,7.90
4,1000,0.25,15.82
8,1000,0.25,31.63
16,1000,0.25,63.37
32,1000,0.27,120.53
64,1000,0.27,239.84
128,1000,0.27,467.09
256,1000,0.29,872.26
512,1000,0.52,989.71
1024,1000,0.59,1748.95
2048,1000,0.71,2864.91
4096,1000,0.93,4398.05
8192,1000,1.54,5336.14
16384,1000,2.40,6814.89
32768,1000,3.67,8922.77
65536,640,5.90,11108.61
131072,320,8.87,14784.69
262144,160,16.11,16267.76
524288,80,40.82,12844.53
1048576,40,83.39,12574.00
2097152,20,162.73,12887.25
4194304,10,401.49,10446.89
