# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.76,0.00
1,1000,8.75,0.11
2,1000,8.76,0.23
4,1000,8.74,0.46
8,1000,8.76,0.91
16,1000,8.79,1.82
32,1000,8.75,3.66
64,1000,8.93,7.16
128,1000,8.96,14.29
256,1000,9.04,28.33
512,1000,10.31,49.67
1024,1000,10.52,97.33
2048,1000,10.85,188.79
4096,1000,12.75,321.19
8192,1000,13.44,609.54
16384,1000,25.10,652.77
32768,1000,37.91,864.34
65536,640,57.56,1138.59
131072,320,101.67,1289.18
262144,160,124.19,2110.77
524288,80,183.05,2864.16
1048576,40,335.93,3121.44
2097152,20,672.05,3120.51
4194304,10,1322.77,3170.84
8388608,5,2618.22,3203.93
16777216,2,5369.50,3124.54
33554432,1,10921.60,3072.30
67108864,1,21736.00,3087.45
134217728,1,43282.08,3101.00
268435456,1,86046.88,3119.64
