# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.04,0.00
1,1000,5.10,0.20
2,1000,5.10,0.39
4,1000,5.09,0.79
8,1000,5.10,1.57
16,1000,5.09,3.14
32,1000,5.10,6.27
64,1000,5.12,12.49
128,1000,5.14,24.91
256,1000,5.17,49.50
512,1000,6.48,79.02
1024,1000,6.66,153.69
2048,1000,6.90,296.73
4096,1000,7.46,548.71
8192,1000,8.29,988.19
16384,1000,14.71,1113.53
32768,1000,22.46,1459.13
65536,640,39.08,1677.13
131072,320,73.13,1792.24
262144,160,53.86,4867.59
524288,80,89.17,5879.49
1048576,40,152.67,6868.41
2097152,20,304.49,6887.51
4194304,10,642.82,6524.84
8388608,5,1516.02,5533.30
16777216,2,3222.78,5205.82
33554432,1,6563.02,5112.65
67108864,1,13026.68,5151.65
134217728,1,25832.76,5195.64
268435456,1,51790.86,5183.07
