# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.30,0.00
1,1000,0.31,3.26
2,1000,0.30,6.70
4,1000,0.30,13.50
8,1000,0.29,27.15
16,1000,0.30,53.21
32,1000,0.37,87.17
64,1000,0.36,175.48
128,1000,0.45,284.13
256,1000,0.49,527.73
512,1000,0.57,905.22
1024,1000,0.66,1548.37
2048,1000,0.89,2296.37
4096,1000,1.26,3238.90
8192,1000,2.00,4087.11
16384,1000,4.06,4034.98
32768,1000,4.90,6685.24
65536,640,6.60,9924.27
131072,320,8.79,14915.54
262144,160,13.75,19069.73
524288,80,24.64,21278.52
1048576,40,58.55,17910.40
2097152,20,151.36,13855.69
4194304,10,325.07,12902.70
