# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.49,0.00
1,1000,0.49,2.05
2,1000,0.49,4.11
4,1000,0.49,8.18
8,1000,0.48,16.56
16,1000,0.49,32.91
32,1000,0.70,45.59
64,1000,0.71,90.76
128,1000,1.25,102.51
256,1000,1.20,213.27
512,1000,1.29,395.59
1024,1000,1.55,660.46
2048,1000,2.23,918.11
4096,1000,3.12,1314.70
8192,1000,4.77,1715.68
16384,1000,4.89,3353.01
32768,1000,5.72,5724.58
65536,640,7.02,9330.58
131072,320,9.59,13668.63
262144,160,14.47,18117.80
524288,80,25.49,20569.90
1048576,40,58.98,17778.33
2097152,20,157.14,13346.07
4194304,10,329.93,12712.90
