# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.25,3.97
2,1000,0.25,7.95
4,1000,0.25,15.87
8,1000,0.26,31.25
16,1000,0.25,62.85
32,1000,0.27,120.70
64,1000,0.27,240.87
128,1000,0.27,466.24
256,1000,0.29,875.02
512,1000,0.55,931.73
1024,1000,0.60,1718.57
2048,1000,0.72,2826.70
4096,1000,0.94,4377.25
8192,1000,1.54,5316.84
16384,1000,2.42,6778.26
32768,1000,3.66,8949.41
65536,640,5.94,11030.39
131072,320,8.92,14694.77
262144,160,15.45,16963.81
524288,80,41.99,12484.71
1048576,40,83.82,12510.19
2097152,20,162.03,12942.70
4194304,10,392.47,10686.89
