# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.41,0.00
1,1000,1.43,0.70
2,1000,1.42,1.40
4,1000,1.42,2.82
8,1000,1.42,5.64
16,1000,1.41,11.37
32,1000,1.42,22.48
64,1000,1.55,41.26
128,1000,1.77,72.18
256,1000,1.78,143.47
512,1000,1.82,280.64
1024,1000,1.90,539.56
2048,1000,2.34,873.80
4096,1000,3.76,1088.33
8192,1000,3.70,2212.69
16384,1000,4.32,3795.73
32768,1000,5.11,6415.49
65536,640,6.94,9449.72
131072,320,10.40,12603.15
262144,160,18.13,14460.27
524288,80,37.37,14029.07
1048576,40,102.01,10278.92
2097152,20,246.45,8509.46
4194304,10,504.29,8317.17
8388608,5,1255.16,6683.28
16777216,2,4232.83,3963.60
33554432,1,11032.38,3041.45
67108864,1,21714.82,3090.46
134217728,1,43308.75,3099.09
268435456,1,83293.65,3222.76
