# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.93,0.00
1,1000,5.00,0.20
2,1000,5.01,0.40
4,1000,4.98,0.80
8,1000,4.99,1.60
16,1000,4.99,3.20
32,1000,5.00,6.41
64,1000,4.99,12.81
128,1000,5.04,25.39
256,1000,5.11,50.05
512,1000,5.16,99.31
1024,1000,5.74,178.24
2048,1000,5.54,369.61
4096,1000,6.39,640.60
8192,1000,6.87,1193.03
16384,1000,8.89,1842.34
32768,1000,14.29,2292.43
65536,640,29.10,2252.16
131072,320,36.42,3599.22
262144,160,50.54,5186.97
524288,80,85.11,6160.00
1048576,40,147.01,7132.69
2097152,20,305.71,6859.88
4194304,10,650.34,6449.44
