# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.44,2.25
2,1000,0.44,4.50
4,1000,0.44,9.07
8,1000,0.44,18.08
16,1000,0.44,36.25
32,1000,0.49,65.45
64,1000,0.48,133.21
128,1000,0.59,217.08
256,1000,0.63,409.29
512,1000,0.98,523.34
1024,1000,1.00,1021.76
2048,1000,1.14,1793.73
4096,1000,1.64,2497.48
8192,1000,2.06,3980.08
16384,1000,3.70,4433.63
32768,1000,5.34,6141.16
65536,640,9.10,7200.25
131072,320,15.25,8596.47
262144,160,28.40,9231.70
524288,80,67.05,7818.80
1048576,40,132.02,7942.48
2097152,20,256.16,8186.81
4194304,10,509.79,8227.45
