# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=sockets ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47}
30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47}
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.97,0.00
1,1000,9.86,0.10
2,1000,9.86,0.20
4,1000,9.84,0.41
8,1000,9.84,0.81
16,1000,9.83,1.63
32,1000,9.82,3.26
64,1000,9.83,6.51
128,1000,9.90,12.93
256,1000,42.81,5.98
512,1000,67.35,7.60
1024,1000,37.40,27.38
2048,1000,67.15,30.50
4096,1000,67.25,60.90
8192,1000,48.39,169.28
16384,1000,68.00,240.93
32768,1000,71.80,456.40
65536,640,73.04,897.27
131072,320,96.39,1359.82
262144,160,135.86,1929.54
524288,80,217.00,2416.05
1048576,40,352.96,2970.78
2097152,20,839.74,2497.37
4194304,10,1566.56,2677.39
