# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.44,2.26
2,1000,0.45,4.49
4,1000,0.44,9.09
8,1000,0.44,18.14
16,1000,0.44,36.20
32,1000,0.49,64.84
64,1000,0.48,132.43
128,1000,0.59,216.06
256,1000,0.63,405.63
512,1000,0.97,528.01
1024,1000,1.00,1027.95
2048,1000,1.15,1779.39
4096,1000,1.58,2587.90
8192,1000,2.06,3978.63
16384,1000,3.54,4632.40
32768,1000,5.28,6205.66
65536,640,9.15,7163.61
131072,320,15.07,8699.37
262144,160,27.96,9377.19
524288,80,67.46,7772.27
1048576,40,132.24,7929.57
2097152,20,256.15,8187.12
4194304,10,510.16,8221.56
8388608,5,1068.21,7852.93
16777216,2,2375.57,7062.40
33554432,1,7888.51,4253.58
67108864,1,15735.07,4264.92
134217728,1,31699.34,4234.09
268435456,1,62327.69,4306.84
