# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,2.01,0.00
1,1000,2.23,0.45
2,1000,2.16,0.92
4,1000,2.10,1.91
8,1000,2.09,3.82
16,1000,2.19,7.32
32,1000,2.11,15.14
64,1000,2.04,31.31
128,1000,1.99,64.26
256,1000,2.18,117.46
512,1000,2.15,238.12
1024,1000,2.19,466.79
2048,1000,2.31,885.18
4096,1000,2.85,1438.72
8192,1000,3.03,2707.53
16384,1000,3.52,4653.52
32768,1000,4.29,7640.45
65536,640,5.79,11314.13
131072,320,8.77,14947.12
262144,160,14.06,18639.11
524288,80,30.88,16980.34
1048576,40,84.06,12474.70
2097152,20,193.65,10829.62
4194304,10,467.85,8965.02
8388608,5,1692.88,4955.22
16777216,2,3956.73,4240.18
33554432,1,8084.96,4150.23
67108864,1,16257.14,4127.96
134217728,1,32152.72,4174.38
268435456,1,63834.08,4205.21
