# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ucx --mca btl self,vader --mca btl_vader_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.39,2.54
2,1000,0.39,5.13
4,1000,0.39,10.16
8,1000,0.39,20.36
16,1000,0.39,40.75
32,1000,0.56,57.46
64,1000,0.56,114.35
128,1000,0.89,143.05
256,1000,0.93,275.94
512,1000,1.16,440.17
1024,1000,1.31,778.74
2048,1000,2.12,968.05
4096,1000,2.99,1369.45
8192,1000,4.81,1702.84
16384,1000,7.25,2259.62
32768,1000,12.96,2529.29
65536,640,24.39,2686.79
131072,320,45.19,2900.73
262144,160,13.08,20043.40
524288,80,25.91,20234.32
1048576,40,55.32,18955.03
2097152,20,144.53,14509.85
4194304,10,289.36,14494.90
