# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.58,0.00
1,1000,1.69,0.59
2,1000,1.65,1.21
4,1000,1.63,2.45
8,1000,1.54,5.19
16,1000,1.69,9.47
32,1000,1.58,20.20
64,1000,1.60,39.94
128,1000,1.72,74.55
256,1000,1.94,132.14
512,1000,1.85,276.84
1024,1000,1.87,547.02
2048,1000,2.02,1013.47
4096,1000,2.55,1603.47
8192,1000,3.07,2672.41
16384,1000,3.51,4666.07
32768,1000,4.56,7180.66
65536,640,6.35,10324.26
131072,320,10.29,12743.21
262144,160,17.50,14978.75
524288,80,34.54,15180.91
1048576,40,93.97,11158.18
2097152,20,217.54,9640.17
4194304,10,523.09,8018.34
