# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.66,0.00
1,1000,0.66,1.51
2,1000,0.66,3.01
4,1000,0.67,5.93
8,1000,0.67,11.90
16,1000,0.67,23.77
32,1000,0.67,48.00
64,1000,0.67,95.98
128,1000,0.72,178.03
256,1000,0.66,388.05
512,1000,1.18,432.51
1024,1000,1.27,807.92
2048,1000,1.38,1487.41
4096,1000,1.84,2231.47
8192,1000,2.29,3584.31
16384,1000,3.52,4656.24
32768,1000,5.44,6025.18
65536,640,9.21,7112.28
131072,320,15.26,8590.36
262144,160,28.65,9148.87
524288,80,67.87,7724.83
1048576,40,132.53,7912.17
2097152,20,259.38,8085.30
4194304,10,509.31,8235.34
