# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.44,2.25
2,1000,0.44,4.54
4,1000,0.45,8.99
8,1000,0.45,17.81
16,1000,0.44,35.99
32,1000,0.49,65.42
64,1000,0.48,132.96
128,1000,0.60,214.21
256,1000,0.63,407.49
512,1000,0.95,540.10
1024,1000,0.99,1039.59
2048,1000,1.12,1825.75
4096,1000,1.51,2706.00
8192,1000,2.10,3901.45
16384,1000,3.52,4652.91
32768,1000,5.27,6219.93
65536,640,9.44,6945.33
131072,320,15.12,8667.26
262144,160,28.88,9077.27
524288,80,65.32,8027.02
1048576,40,132.38,7920.88
2097152,20,257.29,8150.85
4194304,10,507.69,8261.61
8388608,5,1061.92,7899.44
16777216,2,2335.01,7185.07
33554432,1,7928.32,4232.23
67108864,1,15749.79,4260.94
134217728,1,31515.63,4258.77
268435456,1,62764.66,4276.86
