# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.32,0.00
1,1000,0.32,3.13
2,1000,0.32,6.16
4,1000,0.32,12.55
8,1000,0.32,24.83
16,1000,0.33,48.40
32,1000,0.33,97.49
64,1000,0.33,194.18
128,1000,0.33,382.29
256,1000,0.35,723.83
512,1000,0.58,885.79
1024,1000,0.66,1561.26
2048,1000,0.79,2608.16
4096,1000,1.02,4009.16
8192,1000,1.49,5484.51
16384,1000,2.43,6744.47
32768,1000,3.64,9002.71
65536,640,5.89,11124.66
131072,320,8.79,14918.89
262144,160,15.70,16700.29
524288,80,41.93,12504.59
1048576,40,84.24,12447.42
2097152,20,162.40,12913.52
4194304,10,407.33,10297.13
8388608,5,1050.15,7987.99
16777216,2,2176.33,7708.94
33554432,1,6061.18,5535.96
67108864,1,12517.02,5361.41
134217728,1,25732.99,5215.78
268435456,1,52608.45,5102.52
