# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.49,0.00
1,1000,0.50,2.01
2,1000,0.49,4.04
4,1000,0.50,8.07
8,1000,0.49,16.20
16,1000,0.49,32.48
32,1000,0.51,62.23
64,1000,0.52,122.88
128,1000,0.59,217.87
256,1000,0.63,404.91
512,1000,1.00,513.38
1024,1000,1.08,944.47
2048,1000,1.21,1696.03
4096,1000,1.64,2491.73
8192,1000,2.19,3736.00
16384,1000,3.47,4725.88
32768,1000,5.32,6153.89
65536,640,9.12,7185.53
131072,320,15.17,8642.74
262144,160,27.99,9366.58
524288,80,67.05,7818.99
1048576,40,131.46,7976.13
2097152,20,257.62,8140.64
4194304,10,508.42,8249.67
