# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.12,0.00
1,1000,1.10,0.91
2,1000,1.09,1.84
4,1000,1.10,3.62
8,1000,1.09,7.31
16,1000,1.10,14.53
32,1000,1.09,29.28
64,1000,1.13,56.71
128,1000,1.24,103.08
256,1000,1.33,192.73
512,1000,1.31,391.85
1024,1000,1.38,741.48
2048,1000,1.52,1344.18
4096,1000,2.02,2028.16
8192,1000,2.61,3138.47
16384,1000,3.14,5222.24
32768,1000,4.08,8033.00
65536,640,5.87,11158.90
131072,320,9.51,13778.90
262144,160,17.03,15389.58
524288,80,35.57,14738.34
1048576,40,98.89,10603.65
2097152,20,237.39,8834.18
4194304,10,560.21,7487.05
8388608,5,1836.37,4568.04
16777216,2,4230.56,3965.72
33554432,1,8466.56,3963.17
67108864,1,17022.11,3942.45
134217728,1,33449.81,4012.51
268435456,1,65768.85,4081.50
