# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=tcp ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.36,0.00
1,1000,9.49,0.11
2,1000,9.44,0.21
4,1000,9.42,0.42
8,1000,9.38,0.85
16,1000,9.48,1.69
32,1000,9.31,3.44
64,1000,9.33,6.86
128,1000,9.81,13.05
256,1000,9.90,25.87
512,1000,12.25,41.80
1024,1000,11.49,89.10
2048,1000,13.42,152.61
4096,1000,14.58,280.89
8192,1000,16.24,504.49
16384,1000,27.00,606.92
32768,1000,37.40,876.20
65536,640,64.59,1014.58
131072,320,120.95,1083.72
262144,160,154.26,1699.34
524288,80,220.76,2374.95
1048576,40,368.50,2845.50
2097152,20,674.66,3108.46
4194304,10,1430.86,2931.31
