# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.27,0.00
1,1000,0.28,3.59
2,1000,0.28,7.19
4,1000,0.28,14.52
8,1000,0.27,29.23
16,1000,0.28,57.65
32,1000,0.29,110.50
64,1000,0.29,223.28
128,1000,0.29,434.21
256,1000,0.32,796.29
512,1000,0.46,1110.85
1024,1000,0.50,2056.35
2048,1000,0.64,3180.42
4096,1000,0.90,4568.07
8192,1000,1.40,5855.37
16384,1000,2.37,6921.10
32768,1000,3.54,9256.02
65536,640,5.71,11476.67
131072,320,8.80,14894.30
262144,160,15.59,16816.35
524288,80,41.51,12631.34
1048576,40,84.35,12430.87
2097152,20,166.08,12627.37
4194304,10,424.05,9891.09
8388608,5,1152.54,7278.38
16777216,2,2581.88,6498.06
33554432,1,6074.94,5523.42
67108864,1,12112.24,5540.58
134217728,1,24311.58,5520.73
268435456,1,50332.39,5333.25
