# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=sockets ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,12.09,0.00
1,1000,11.91,0.08
2,1000,11.90,0.17
4,1000,11.92,0.34
8,1000,11.67,0.69
16,1000,11.70,1.37
32,1000,11.73,2.73
64,1000,11.75,5.45
128,1000,11.84,10.81
256,1000,31.07,8.24
512,1000,32.56,15.72
1024,1000,36.98,27.69
2048,1000,25.49,80.36
4096,1000,23.64,173.27
8192,1000,32.78,249.91
16384,1000,50.33,325.51
32768,1000,52.66,622.23
65536,640,74.83,875.77
131072,320,100.86,1299.49
262144,160,163.42,1604.08
524288,80,268.07,1955.82
1048576,40,485.94,2157.83
2097152,20,1006.75,2083.09
4194304,10,2238.89,1873.39
