# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.92,0.00
1,1000,7.95,0.13
2,1000,8.02,0.25
4,1000,7.97,0.50
8,1000,8.16,0.98
16,1000,7.91,2.02
32,1000,7.93,4.03
64,1000,8.19,7.82
128,1000,8.19,15.62
256,1000,8.18,31.31
512,1000,10.00,51.21
1024,1000,10.12,101.19
2048,1000,10.54,194.26
4096,1000,11.48,356.90
8192,1000,13.33,614.65
16384,1000,23.26,704.32
32768,1000,35.52,922.54
65536,640,57.24,1144.98
131072,320,103.96,1260.83
262144,160,115.36,2272.43
524288,80,177.81,2948.66
1048576,40,311.28,3368.61
2097152,20,620.47,3379.93
4194304,10,1230.55,3408.47
