# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.28,0.00
1,1000,0.28,3.52
2,1000,0.28,7.15
4,1000,0.28,14.29
8,1000,0.28,28.39
16,1000,0.28,56.64
32,1000,0.29,111.11
64,1000,0.29,220.86
128,1000,0.30,426.17
256,1000,0.32,789.60
512,1000,0.56,907.50
1024,1000,0.61,1689.86
2048,1000,0.73,2811.20
4096,1000,0.96,4284.09
8192,1000,1.46,5597.43
16384,1000,2.37,6925.80
32768,1000,3.53,9276.16
65536,640,5.81,11271.94
131072,320,8.81,14884.23
262144,160,15.40,17022.05
524288,80,42.82,12245.07
1048576,40,83.60,12542.76
2097152,20,167.40,12528.07
4194304,10,408.27,10273.32
