# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.58,0.00
1,1000,9.62,0.10
2,1000,9.71,0.21
4,1000,9.61,0.42
8,1000,9.57,0.84
16,1000,9.64,1.66
32,1000,9.61,3.33
64,1000,9.59,6.67
128,1000,9.84,13.00
256,1000,16.64,15.39
512,1000,19.59,26.13
1024,1000,25.64,39.94
2048,1000,21.15,96.82
4096,1000,21.26,192.67
8192,1000,21.42,382.49
16384,1000,23.63,693.27
32768,1000,31.61,1036.54
65536,640,49.37,1327.57
131072,320,70.07,1870.58
262144,160,109.85,2386.34
524288,80,193.68,2706.93
1048576,40,355.62,2948.56
2097152,20,707.00,2966.27
4194304,10,1354.75,3095.99
