# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.25,3.95
2,1000,0.25,7.91
4,1000,0.25,15.83
8,1000,0.25,31.63
16,1000,0.25,63.26
32,1000,0.27,120.44
64,1000,0.27,239.93
128,1000,0.28,464.00
256,1000,0.30,867.71
512,1000,0.51,1011.53
1024,1000,0.58,1773.63
2048,1000,0.71,2867.33
4096,1000,0.93,4413.92
8192,1000,1.51,5425.78
16384,1000,2.44,6724.48
32768,1000,3.66,8945.31
65536,640,5.97,10981.05
131072,320,8.91,14716.24
262144,160,15.91,16474.47
524288,80,41.08,12762.53
1048576,40,83.33,12583.75
2097152,20,165.96,12636.52
4194304,10,403.05,10406.41
8388608,5,1033.94,8113.24
16777216,2,2171.95,7724.50
33554432,1,6022.58,5571.44
67108864,1,12572.54,5337.73
134217728,1,25743.26,5213.70
268435456,1,52639.01,5099.55
