# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.68,0.00
1,1000,0.69,1.45
2,1000,0.68,2.93
4,1000,0.68,5.89
8,1000,0.68,11.82
16,1000,0.68,23.70
32,1000,0.69,46.14
64,1000,0.72,89.18
128,1000,0.76,168.52
256,1000,0.72,353.95
512,1000,1.14,447.99
1024,1000,1.24,825.06
2048,1000,1.33,1536.04
4096,1000,1.77,2320.53
8192,1000,2.35,3486.35
16384,1000,3.28,5000.48
32768,1000,5.43,6037.59
65536,640,9.34,7014.73
131072,320,18.03,7270.47
262144,160,34.50,7598.44
524288,80,83.59,6272.47
1048576,40,168.95,6206.25
2097152,20,335.73,6246.60
4194304,10,668.94,6270.04
8388608,5,1429.37,5868.73
16777216,2,3927.62,4271.60
33554432,1,8062.73,4161.67
67108864,1,16107.06,4166.43
134217728,1,32294.11,4156.11
268435456,1,64678.51,4150.30
