# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.43,2.33
2,1000,0.43,4.63
4,1000,0.43,9.29
8,1000,0.43,18.49
16,1000,0.43,36.86
32,1000,0.46,68.83
64,1000,0.46,138.11
128,1000,0.57,222.86
256,1000,0.62,415.14
512,1000,0.85,603.21
1024,1000,0.92,1113.12
2048,1000,1.08,1889.61
4096,1000,1.52,2702.88
8192,1000,1.94,4223.40
16384,1000,3.37,4857.35
32768,1000,5.11,6413.33
65536,640,9.17,7149.46
131072,320,17.80,7362.75
262144,160,34.70,7553.66
524288,80,82.48,6356.35
1048576,40,168.72,6215.01
2097152,20,334.63,6267.00
4194304,10,669.68,6263.13
8388608,5,1415.56,5926.02
16777216,2,3883.93,4319.65
33554432,1,8059.49,4163.35
67108864,1,16157.63,4153.39
134217728,1,32362.83,4147.28
268435456,1,64657.37,4151.66
