# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.43,0.00
1,1000,5.50,0.18
2,1000,5.50,0.36
4,1000,5.50,0.73
8,1000,5.48,1.46
16,1000,5.50,2.91
32,1000,5.51,5.81
64,1000,5.52,11.59
128,1000,5.60,22.84
256,1000,5.64,45.40
512,1000,5.70,89.84
1024,1000,6.29,162.76
2048,1000,6.11,335.11
4096,1000,7.07,579.53
8192,1000,7.52,1089.47
16384,1000,9.78,1674.93
32768,1000,15.71,2085.59
65536,640,29.68,2208.07
131072,320,39.58,3311.46
262144,160,54.62,4799.74
524288,80,87.18,6013.97
1048576,40,150.46,6969.06
2097152,20,288.78,7262.15
4194304,10,577.58,7261.90
