# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.42,0.00
1,1000,1.41,0.71
2,1000,1.43,1.40
4,1000,1.43,2.80
8,1000,1.43,5.59
16,1000,1.43,11.21
32,1000,1.43,22.34
64,1000,1.55,41.29
128,1000,1.74,73.39
256,1000,1.74,146.99
512,1000,1.85,276.14
1024,1000,1.89,542.09
2048,1000,2.28,897.42
4096,1000,3.69,1109.97
8192,1000,3.85,2126.36
16384,1000,4.14,3957.31
32768,1000,5.12,6394.43
65536,640,6.91,9481.53
131072,320,10.91,12014.56
262144,160,18.02,14549.86
524288,80,38.15,13741.36
1048576,40,101.84,10296.25
2097152,20,251.72,8331.27
4194304,10,520.11,8064.25
