# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.50,0.00
1,1000,0.51,1.95
2,1000,0.48,4.12
4,1000,0.50,7.97
8,1000,0.53,15.15
16,1000,0.51,31.68
32,1000,0.49,65.23
64,1000,0.50,128.23
128,1000,0.48,266.92
256,1000,0.48,534.01
512,1000,0.75,678.30
1024,1000,0.82,1244.32
2048,1000,0.93,2196.41
4096,1000,1.16,3534.87
8192,1000,1.59,5156.33
16384,1000,2.43,6748.83
32768,1000,3.59,9136.31
65536,640,5.93,11047.96
131072,320,8.87,14774.99
262144,160,15.58,16821.30
524288,80,42.47,12345.57
1048576,40,83.74,12521.60
2097152,20,162.48,12907.42
4194304,10,399.22,10506.13
