# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.25,3.92
2,1000,0.26,7.84
4,1000,0.25,15.69
8,1000,0.26,31.35
16,1000,0.26,62.71
32,1000,0.27,119.73
64,1000,0.27,238.42
128,1000,0.29,449.11
256,1000,0.30,867.22
512,1000,0.52,976.38
1024,1000,0.58,1778.04
2048,1000,0.71,2897.02
4096,1000,0.92,4463.34
8192,1000,1.52,5398.03
16384,1000,2.43,6746.13
32768,1000,3.70,8851.46
65536,640,5.93,11057.22
131072,320,8.80,14901.59
262144,160,16.18,16201.49
524288,80,41.00,12787.84
1048576,40,83.70,12527.97
2097152,20,161.82,12959.52
4194304,10,405.01,10355.99
