# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.29,0.00
1,1000,0.30,3.38
2,1000,0.30,6.75
4,1000,0.29,13.61
8,1000,0.29,27.15
16,1000,0.30,53.91
32,1000,0.30,105.31
64,1000,0.30,211.83
128,1000,0.31,418.53
256,1000,0.32,811.33
512,1000,0.54,944.28
1024,1000,0.62,1646.32
2048,1000,0.76,2710.27
4096,1000,0.95,4293.16
8192,1000,1.46,5625.08
16384,1000,2.42,6763.83
32768,1000,3.58,9162.45
65536,640,5.88,11143.36
131072,320,8.84,14828.48
262144,160,15.65,16746.16
524288,80,42.25,12408.77
1048576,40,85.49,12265.69
2097152,20,160.79,13043.05
4194304,10,420.90,9965.00
8388608,5,1033.42,8117.29
16777216,2,2172.29,7723.30
33554432,1,6027.60,5566.80
67108864,1,12458.70,5386.50
134217728,1,25907.98,5180.56
268435456,1,52653.55,5098.15
