# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=sockets ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.78,0.00
1,1000,9.78,0.10
2,1000,9.81,0.20
4,1000,9.81,0.41
8,1000,9.81,0.82
16,1000,9.81,1.63
32,1000,9.79,3.27
64,1000,9.80,6.53
128,1000,9.87,12.97
256,1000,66.94,3.82
512,1000,48.66,10.52
1024,1000,68.16,15.02
2048,1000,67.04,30.55
4096,1000,48.66,84.18
8192,1000,67.38,121.59
16384,1000,68.06,240.72
32768,1000,69.37,472.36
65536,640,64.29,1019.45
131072,320,95.90,1366.78
262144,160,136.78,1916.47
524288,80,230.44,2275.20
1048576,40,429.11,2443.59
2097152,20,871.63,2406.02
4194304,10,1915.20,2190.01
8388608,5,3801.40,2206.72
16777216,2,8194.77,2047.31
33554432,1,11390.81,2945.75
67108864,1,22094.36,3037.38
134217728,1,43119.97,3112.66
268435456,1,88008.06,3050.12
