# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.44,2.26
2,1000,0.44,4.51
4,1000,0.44,9.07
8,1000,0.44,17.99
16,1000,0.44,36.35
32,1000,0.49,65.47
64,1000,0.48,133.18
128,1000,0.60,215.01
256,1000,0.62,410.75
512,1000,0.91,560.67
1024,1000,0.98,1042.54
2048,1000,1.11,1846.21
4096,1000,1.58,2591.88
8192,1000,2.00,4093.99
16384,1000,3.50,4682.10
32768,1000,5.39,6078.34
65536,640,9.17,7143.56
131072,320,15.05,8711.51
262144,160,28.10,9329.19
524288,80,68.12,7696.02
1048576,40,131.85,7952.52
2097152,20,257.68,8138.58
4194304,10,512.41,8185.45
8388608,5,1066.40,7866.28
16777216,2,2387.23,7027.89
33554432,1,7915.25,4239.21
67108864,1,15782.09,4252.22
134217728,1,31576.99,4250.49
268435456,1,62921.42,4266.20
