# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,6.42,0.00
1,1000,6.43,0.16
2,1000,6.43,0.31
4,1000,6.42,0.62
8,1000,6.43,1.24
16,1000,6.41,2.50
32,1000,6.44,4.97
64,1000,6.44,9.94
128,1000,6.40,19.99
256,1000,11.36,22.53
512,1000,13.01,39.36
1024,1000,16.44,62.28
2048,1000,13.53,151.39
4096,1000,13.49,303.57
8192,1000,13.77,594.78
16384,1000,14.08,1163.74
32768,1000,16.13,2031.02
65536,640,23.94,2738.03
131072,320,30.85,4248.29
262144,160,45.43,5770.16
524288,80,80.73,6494.67
1048576,40,154.92,6768.57
2097152,20,304.31,6891.61
4194304,10,646.46,6488.14
