# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.44,2.26
2,1000,0.44,4.51
4,1000,0.44,9.03
8,1000,0.44,18.10
16,1000,0.44,36.17
32,1000,0.49,65.69
64,1000,0.48,132.60
128,1000,0.60,211.59
256,1000,0.64,402.81
512,1000,0.92,554.22
1024,1000,0.98,1046.46
2048,1000,1.10,1868.13
4096,1000,1.56,2625.77
8192,1000,2.07,3952.10
16384,1000,3.65,4484.04
32768,1000,5.36,6111.57
65536,640,9.13,7177.18
131072,320,15.13,8662.99
262144,160,28.16,9310.34
524288,80,67.23,7798.97
1048576,40,132.01,7943.29
2097152,20,257.22,8153.09
4194304,10,508.47,8248.91
