# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ucx --mca btl self,vader --mca btl_vader_if_include ib0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.21,0.00
1,1000,0.20,4.97
2,1000,0.19,10.50
4,1000,0.19,21.59
8,1000,0.19,43.09
16,1000,0.19,85.74
32,1000,0.23,141.57
64,1000,0.23,281.14
128,1000,0.31,407.29
256,1000,0.35,735.50
512,1000,0.40,1285.43
1024,1000,0.50,2047.43
2048,1000,0.75,2724.95
4096,1000,1.13,3629.13
8192,1000,1.88,4357.18
16384,1000,2.96,5526.53
32768,1000,4.82,6794.45
65536,640,8.33,7865.58
131072,320,15.15,8652.90
262144,160,13.92,18835.85
524288,80,27.50,19065.17
1048576,40,55.68,18832.99
2097152,20,147.85,14184.35
4194304,10,311.82,13450.98
8388608,5,909.49,9223.46
16777216,2,2382.73,7041.16
33554432,1,5663.14,5925.06
67108864,1,10792.90,6217.87
134217728,1,22844.19,5875.35
268435456,1,45024.14,5962.03
