# Command used - mpirun -np 2 --report-bindings --map-by node --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.99,1.01
2,1000,1.00,2.00
4,1000,1.00,4.01
8,1000,0.99,8.09
16,1000,0.99,16.13
32,1000,1.00,31.90
64,1000,1.14,55.93
128,1000,1.19,107.87
256,1000,1.41,181.17
512,1000,1.48,344.86
1024,1000,1.64,622.87
2048,1000,2.30,889.61
4096,1000,3.19,1285.92
8192,1000,4.47,1834.39
16384,1000,6.30,2601.98
32768,1000,8.41,3896.90
65536,640,12.36,5303.20
131072,320,18.64,7030.55
262144,160,31.88,8221.70
524288,80,54.27,9661.28
1048576,40,96.83,10829.54
2097152,20,186.02,11273.93
4194304,10,352.17,11909.92
8388608,5,695.14,12067.50
16777216,2,1383.23,12129.04
33554432,1,2767.11,12126.18
67108864,1,5511.84,12175.40
134217728,1,11020.71,12178.68
268435456,1,22062.27,12167.18
