# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.32,0.00
1,1000,0.32,3.09
2,1000,0.33,6.11
4,1000,0.32,12.37
8,1000,0.32,24.66
16,1000,0.33,49.01
32,1000,0.33,97.10
64,1000,0.33,192.50
128,1000,0.34,376.29
256,1000,0.36,709.44
512,1000,0.57,895.57
1024,1000,0.65,1585.11
2048,1000,0.81,2525.08
4096,1000,1.00,4107.27
8192,1000,1.49,5508.38
16384,1000,2.40,6814.49
32768,1000,3.59,9122.40
65536,640,5.90,11104.10
131072,320,8.81,14884.23
262144,160,15.86,16532.33
524288,80,41.93,12504.87
1048576,40,83.96,12488.92
2097152,20,166.04,12630.56
4194304,10,402.89,10410.41
