# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.44,2.25
2,1000,0.44,4.51
4,1000,0.44,9.05
8,1000,0.44,18.13
16,1000,0.44,36.16
32,1000,0.49,65.47
64,1000,0.48,133.79
128,1000,0.59,216.23
256,1000,0.64,402.96
512,1000,0.92,558.41
1024,1000,0.97,1053.05
2048,1000,1.09,1875.05
4096,1000,1.51,2714.49
8192,1000,2.03,4027.37
16384,1000,3.42,4789.90
32768,1000,5.33,6144.86
65536,640,9.09,7211.40
131072,320,15.16,8648.57
262144,160,28.10,9329.36
524288,80,67.97,7713.95
1048576,40,132.80,7896.10
2097152,20,255.94,8193.96
4194304,10,511.38,8201.98
