# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=tcp ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.44,0.00
1,1000,8.34,0.12
2,1000,8.08,0.25
4,1000,8.08,0.50
8,1000,8.07,0.99
16,1000,8.08,1.98
32,1000,8.11,3.94
64,1000,8.09,7.91
128,1000,8.26,15.49
256,1000,8.66,29.58
512,1000,10.44,49.05
1024,1000,10.66,96.09
2048,1000,13.00,157.56
4096,1000,14.01,292.34
8192,1000,16.18,506.18
16384,1000,27.05,605.72
32768,1000,36.73,892.10
65536,640,60.74,1079.04
131072,320,111.82,1172.14
262144,160,137.11,1911.91
524288,80,231.80,2261.83
1048576,40,434.58,2412.84
2097152,20,832.91,2517.85
4194304,10,1474.56,2844.44
