# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.39,0.00
1,1000,0.40,2.50
2,1000,0.41,4.87
4,1000,0.40,10.09
8,1000,0.40,20.16
16,1000,0.40,40.23
32,1000,0.55,58.37
64,1000,0.56,114.98
128,1000,0.85,149.98
256,1000,0.91,280.90
512,1000,1.10,463.78
1024,1000,1.33,771.66
2048,1000,2.07,987.12
4096,1000,2.94,1393.81
8192,1000,4.76,1719.42
16384,1000,7.16,2288.06
32768,1000,12.84,2552.44
65536,640,24.30,2697.17
131072,320,46.13,2841.12
262144,160,13.05,20093.83
524288,80,22.80,22994.67
1048576,40,52.09,20129.97
2097152,20,138.94,15094.46
4194304,10,294.80,14227.40
