# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ob1 --mca btl self,vader --mca btl_vader_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.54,0.00
1,1000,0.56,1.79
2,1000,0.56,3.58
4,1000,0.56,7.14
8,1000,0.56,14.40
16,1000,0.60,26.81
32,1000,0.65,49.26
64,1000,0.73,88.16
128,1000,0.94,136.74
256,1000,1.06,242.35
512,1000,1.23,415.46
1024,1000,1.38,742.30
2048,1000,1.76,1161.02
4096,1000,2.50,1637.51
8192,1000,3.21,2548.20
16384,1000,3.72,4405.95
32768,1000,4.73,6928.88
65536,640,6.20,10562.71
131072,320,10.42,12582.06
262144,160,17.85,14687.41
524288,80,37.56,13959.27
1048576,40,99.83,10503.86
2097152,20,242.43,8650.52
4194304,10,490.41,8552.63
