# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.89,0.00
1,1000,4.99,0.20
2,1000,4.96,0.40
4,1000,4.97,0.81
8,1000,4.95,1.61
16,1000,4.97,3.22
32,1000,4.97,6.44
64,1000,4.98,12.86
128,1000,5.04,25.38
256,1000,5.05,50.72
512,1000,5.09,100.49
1024,1000,5.77,177.54
2048,1000,5.50,372.30
4096,1000,6.41,638.86
8192,1000,6.86,1194.30
16384,1000,9.02,1816.80
32768,1000,14.43,2270.15
65536,640,29.23,2242.18
131072,320,37.27,3516.60
262144,160,50.87,5153.00
524288,80,85.59,6125.38
1048576,40,146.89,7138.33
2097152,20,306.75,6836.70
4194304,10,652.32,6429.87
