# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.44,2.25
2,1000,0.44,4.51
4,1000,0.44,9.11
8,1000,0.44,18.03
16,1000,0.44,36.39
32,1000,0.49,65.35
64,1000,0.48,133.44
128,1000,0.59,215.22
256,1000,0.64,402.76
512,1000,0.92,555.51
1024,1000,0.98,1046.11
2048,1000,1.11,1853.39
4096,1000,1.55,2648.72
8192,1000,2.05,3994.79
16384,1000,3.48,4713.31
32768,1000,5.29,6192.18
65536,640,9.37,6996.27
131072,320,15.32,8556.01
262144,160,27.93,9385.63
524288,80,69.38,7556.95
1048576,40,132.37,7921.36
2097152,20,257.98,8129.24
4194304,10,509.26,8236.07
