# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ucx --mca btl self,vader --mca btl_vader_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.42,2.36
2,1000,0.41,4.87
4,1000,0.41,9.72
8,1000,0.41,19.39
16,1000,0.41,39.00
32,1000,0.56,57.40
64,1000,0.58,110.74
128,1000,1.03,123.91
256,1000,1.10,232.76
512,1000,1.20,425.86
1024,1000,1.45,706.02
2048,1000,2.07,988.79
4096,1000,2.94,1391.26
8192,1000,4.65,1762.83
16384,1000,7.15,2290.61
32768,1000,12.51,2619.56
65536,640,23.48,2790.94
131072,320,42.64,3074.04
262144,160,14.71,17825.03
524288,80,26.15,20052.22
1048576,40,60.93,17208.94
2097152,20,156.70,13383.52
4194304,10,336.27,12472.95
