# Command used - mpirun -np 2 --report-bindings --map-by node --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.49,0.00
1,1000,9.53,0.10
2,1000,9.53,0.21
4,1000,9.57,0.42
8,1000,9.56,0.84
16,1000,9.58,1.67
32,1000,9.53,3.36
64,1000,9.25,6.92
128,1000,9.27,13.80
256,1000,9.36,27.36
512,1000,9.48,54.00
1024,1000,9.77,104.79
2048,1000,11.51,177.94
4096,1000,12.68,322.93
8192,1000,14.40,568.92
16384,1000,17.73,924.11
32768,1000,27.93,1173.39
65536,640,59.53,1100.86
131072,320,84.95,1542.92
262144,160,149.73,1750.82
524288,80,219.19,2391.91
1048576,40,360.12,2911.73
2097152,20,666.82,3145.00
4194304,10,1432.56,2927.84
