# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ob1 --mca btl self,vader --mca btl_vader_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.53,0.00
1,1000,0.56,1.78
2,1000,0.57,3.53
4,1000,0.57,7.02
8,1000,0.57,14.06
16,1000,0.59,27.05
32,1000,0.70,45.46
64,1000,0.82,78.39
128,1000,0.89,143.30
256,1000,1.06,241.68
512,1000,1.23,414.89
1024,1000,1.49,689.00
2048,1000,1.74,1177.88
4096,1000,2.50,1640.09
8192,1000,3.16,2588.74
16384,1000,3.56,4602.77
32768,1000,4.86,6742.47
65536,640,6.21,10556.59
131072,320,9.98,13133.41
262144,160,17.89,14654.97
524288,80,37.96,13810.17
1048576,40,101.22,10359.08
2097152,20,244.96,8561.31
4194304,10,501.45,8364.34
