# Command used - mpirun -np 2 --report-bindings --map-by node --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.52,0.00
1,1000,15.56,0.06
2,1000,15.55,0.13
4,1000,15.53,0.26
8,1000,15.57,0.51
16,1000,15.59,1.03
32,1000,15.62,2.05
64,1000,15.68,4.08
128,1000,16.10,7.95
256,1000,16.17,15.83
512,1000,16.39,31.24
1024,1000,16.81,60.93
2048,1000,38.79,52.79
4096,1000,39.11,104.73
8192,1000,40.01,204.74
16384,1000,41.90,391.06
32768,1000,49.15,666.68
65536,640,147.05,445.69
131072,320,158.95,824.60
262144,160,213.57,1227.41
524288,80,319.49,1641.01
1048576,40,523.82,2001.78
2097152,20,941.66,2227.08
4194304,10,1949.78,2151.17
